alpha,call_id,ema_ms,end_to_end_ms,feat_ms,feature_type,final_S,first_alert_ms,fwd_ms,kind,label,load_ms,n_segments,peak_seg_ms,prob,rep,score_S,segment_id,tau,total_call_ms
,,0.000625,5.078907,4.608854,mfcc,,,0.135209,segment,0,0.334219,,,0.576858401298523,8,0.40380088090896604,d01j04s006795_22,,
,,0.00052,5.084895,4.605886,mfcc,,,0.130521,segment,0,0.347968,,,0.576858401298523,9,0.40380088090896604,d01j04s006795_22,,
,,0.000677,11.594166,4.898072,mfcc,,,0.143073,segment,1,6.552344,,,0.9998094439506531,0,0.6998666107654571,vishing_617_334,,
,,0.000833,6.378906,4.887136,mfcc,,,1.091979,segment,1,0.398958,,,0.9998094439506531,1,0.6998666107654571,vishing_617_334,,
,,0.00073,5.430521,4.875782,mfcc,,,0.138072,segment,1,0.415937,,,0.9998094439506531,2,0.6998666107654571,vishing_617_334,,
,,0.000677,5.469739,4.924219,mfcc,,,0.155,segment,1,0.389843,,,0.9998094439506531,3,0.6998666107654571,vishing_617_334,,
,,0.000729,5.636979,5.087448,mfcc,,,0.141302,segment,1,0.4075,,,0.9998094439506531,4,0.6998666107654571,vishing_617_334,,
,,0.000677,5.678906,5.157031,mfcc,,,0.136719,segment,1,0.384479,,,0.9998094439506531,5,0.6998666107654571,vishing_617_334,,
,,0.000573,5.710156,5.190469,mfcc,,,0.133854,segment,1,0.38526,,,0.9998094439506531,6,0.6998666107654571,vishing_617_334,,
,,0.000625,5.648229,5.120052,mfcc,,,0.14375,segment,1,0.383802,,,0.9998094439506531,7,0.6998666107654571,vishing_617_334,,
,,0.000677,5.722135,5.165573,mfcc,,,0.168229,segment,1,0.387656,,,0.9998094439506531,8,0.6998666107654571,vishing_617_334,,
,,0.000677,5.666875,5.132344,mfcc,,,0.151354,segment,1,0.3825,,,0.9998094439506531,9,0.6998666107654571,vishing_617_334,,
,,0.001718,17.906666,9.600625,mfcc,,,0.614584,segment,0,7.689739,,,0.5221792459487915,0,0.36552547216415404,d01j021s007425_1,,
,,0.000677,11.209896,9.195209,mfcc,,,1.231875,segment,0,0.782135,,,0.5221792459487915,1,0.36552547216415404,d01j021s007425_1,,
,,0.001093,11.105208,9.201042,mfcc,,,1.244323,segment,0,0.65875,,,0.5221792459487915,2,0.36552547216415404,d01j021s007425_1,,
,,0.001458,11.14875,8.953229,mfcc,,,1.52724,segment,0,0.666823,,,0.5221792459487915,3,0.36552547216415404,d01j021s007425_1,,
,,0.001563,10.698073,9.280469,mfcc,,,0.665156,segment,0,0.750885,,,0.5221792459487915,4,0.36552547216415404,d01j021s007425_1,,
,,0.000833,11.495677,9.537552,mfcc,,,1.14125,segment,0,0.816042,,,0.5221792459487915,5,0.36552547216415404,d01j021s007425_1,,
,,0.001302,9.20375,8.22,mfcc,,,0.271614,segment,0,0.710834,,,0.5221792459487915,6,0.36552547216415404,d01j021s007425_1,,
,,0.001302,10.417656,8.590729,mfcc,,,1.07151,segment,0,0.754115,,,0.5221792459487915,7,0.36552547216415404,d01j021s007425_1,,
,,0.001563,10.141458,8.795417,mfcc,,,0.632916,segment,0,0.711562,,,0.5221792459487915,8,0.36552547216415404,d01j021s007425_1,,
,,0.001146,10.126146,8.738802,mfcc,,,0.602968,segment,0,0.78323,,,0.5221792459487915,9,0.36552547216415404,d01j021s007425_1,,
,,0.000937,6.593021,1.484792,mfcc,,,0.141042,segment,1,4.96625,,,0.9957093000411987,0,0.6969965100288391,vishing_453_5,,
,,0.000573,1.704167,1.421302,mfcc,,,0.121927,segment,1,0.160365,,,0.9957093000411987,1,0.6969965100288391,vishing_453_5,,
,,0.000573,1.621354,1.340052,mfcc,,,0.132812,segment,1,0.147917,,,0.9957093000411987,2,0.6969965100288391,vishing_453_5,,
,,0.000521,1.606719,1.33224,mfcc,,,0.127864,segment,1,0.146094,,,0.9957093000411987,3,0.6969965100288391,vishing_453_5,,
,,0.000573,1.641146,1.379792,mfcc,,,0.117552,segment,1,0.143229,,,0.9957093000411987,4,0.6969965100288391,vishing_453_5,,
,,0.000469,1.626094,1.33401,mfcc,,,0.154948,segment,1,0.136667,,,0.9957093000411987,5,0.6969965100288391,vishing_453_5,,
,,0.000469,1.633698,1.376771,mfcc,,,0.116875,segment,1,0.139583,,,0.9957093000411987,6,0.6969965100288391,vishing_453_5,,
,,0.000468,1.634114,1.377343,mfcc,,,0.112032,segment,1,0.144271,,,0.9957093000411987,7,0.6969965100288391,vishing_453_5,,
,,0.000521,1.614844,1.35198,mfcc,,,0.122552,segment,1,0.139791,,,0.9957093000411987,8,0.6969965100288391,vishing_453_5,,
,,0.000468,1.727656,1.473542,mfcc,,,0.113594,segment,1,0.140052,,,0.9957093000411987,9,0.6969965100288391,vishing_453_5,,
,,0.001615,9.398021,5.630833,mfcc,,,0.166823,segment,1,3.59875,,,0.9992679953575134,0,0.6994875967502594,vishing_44_0,,
,,0.000573,6.104844,5.507813,mfcc,,,0.151458,segment,1,0.445,,,0.9992679953575134,1,0.6994875967502594,vishing_44_0,,
,,0.000573,6.21875,5.640677,mfcc,,,0.142916,segment,1,0.434584,,,0.9992679953575134,2,0.6994875967502594,vishing_44_0,,
,,0.000677,6.272657,5.719011,mfcc,,,0.141667,segment,1,0.411302,,,0.9992679953575134,3,0.6994875967502594,vishing_44_0,,
,,0.000729,6.402813,5.757604,mfcc,,,0.19224,segment,1,0.45224,,,0.9992679953575134,4,0.6994875967502594,vishing_44_0,,
,,0.000521,6.133646,5.586771,mfcc,,,0.141354,segment,1,0.405,,,0.9992679953575134,5,0.6994875967502594,vishing_44_0,,
,,0.000885,6.155729,5.618489,mfcc,,,0.129271,segment,1,0.407084,,,0.9992679953575134,6,0.6994875967502594,vishing_44_0,,
,,0.000573,6.034166,5.484896,mfcc,,,0.135729,segment,1,0.412968,,,0.9992679953575134,7,0.6994875967502594,vishing_44_0,,
,,0.000573,6.003281,5.457083,mfcc,,,0.138489,segment,1,0.407136,,,0.9992679953575134,8,0.6994875967502594,vishing_44_0,,
,,0.00052,6.009479,5.460781,mfcc,,,0.142761,segment,1,0.405417,,,0.9992679953575134,9,0.6994875967502594,vishing_44_0,,
,,0.001094,14.979844,7.600937,mfcc,,,0.480521,segment,0,6.897292,,,0.623574435710907,0,0.43650210499763487,d01j021s006287_3,,
,,0.000729,8.442031,7.617344,mfcc,,,0.220833,segment,0,0.603125,,,0.623574435710907,1,0.43650210499763487,d01j021s006287_3,,
,,0.000989,8.678594,7.799114,mfcc,,,0.264011,segment,0,0.61448,,,0.623574435710907,2,0.43650210499763487,d01j021s006287_3,,
,,0.000781,8.400781,7.627761,mfcc,,,0.170573,segment,0,0.601666,,,0.623574435710907,3,0.43650210499763487,d01j021s006287_3,,
,,0.000677,8.138593,7.432344,mfcc,,,0.16901,segment,0,0.536562,,,0.623574435710907,4,0.43650210499763487,d01j021s006287_3,,
,,0.000782,7.913073,7.237709,mfcc,,,0.161041,segment,0,0.513541,,,0.623574435710907,5,0.43650210499763487,d01j021s006287_3,,
,,0.000625,8.04,7.297968,mfcc,,,0.215886,segment,0,0.525521,,,0.623574435710907,6,0.43650210499763487,d01j021s006287_3,,
,,0.000729,7.906667,7.165937,mfcc,,,0.208282,segment,0,0.531719,,,0.623574435710907,7,0.43650210499763487,d01j021s006287_3,,
,,0.000782,8.559688,7.805,mfcc,,,0.199114,segment,0,0.554792,,,0.623574435710907,8,0.43650210499763487,d01j021s006287_3,,
,,0.001042,8.319948,7.585938,mfcc,,,0.165416,segment,0,0.567552,,,0.623574435710907,9,0.43650210499763487,d01j021s006287_3,,
,,0.002552,15.978125,10.241927,mfcc,,,0.743282,segment,0,4.990364,,,0.5376025438308716,0,0.3763217806816101,d04j18s003763_13,,
,,0.000938,12.454948,10.882761,mfcc,,,0.598958,segment,0,0.972291,,,0.5376025438308716,1,0.3763217806816101,d04j18s003763_13,,
,,0.000781,11.972865,10.663906,mfcc,,,0.47724,segment,0,0.830938,,,0.5376025438308716,2,0.3763217806816101,d04j18s003763_13,,
,,0.000781,12.041875,10.604375,mfcc,,,0.620886,segment,0,0.815833,,,0.5376025438308716,3,0.3763217806816101,d04j18s003763_13,,
,,0.000573,11.377813,9.935105,mfcc,,,0.59125,segment,0,0.850885,,,0.5376025438308716,4,0.3763217806816101,d04j18s003763_13,,
,,0.000781,11.325833,9.951718,mfcc,,,0.595417,segment,0,0.777917,,,0.5376025438308716,5,0.3763217806816101,d04j18s003763_13,,
,,0.000625,11.405208,9.941667,mfcc,,,0.616718,segment,0,0.846198,,,0.5376025438308716,6,0.3763217806816101,d04j18s003763_13,,
,,0.000781,11.377448,10.031875,mfcc,,,0.614063,segment,0,0.730729,,,0.5376025438308716,7,0.3763217806816101,d04j18s003763_13,,
,,0.001511,12.376719,10.180573,mfcc,,,1.370625,segment,0,0.82401,,,0.5376025438308716,8,0.3763217806816101,d04j18s003763_13,,
,,0.000834,12.180365,10.086145,mfcc,,,1.266875,segment,0,0.826511,,,0.5376025438308716,9,0.3763217806816101,d04j18s003763_13,,
,,0.001563,15.524792,7.967291,mfcc,,,1.269427,segment,0,6.286511,,,0.4133669137954712,0,0.2893568396568298,d01j020s003787_1,,
,,0.000677,8.376562,7.550313,mfcc,,,0.185468,segment,0,0.640104,,,0.4133669137954712,1,0.2893568396568298,d01j020s003787_1,,
,,0.000729,8.459166,7.719062,mfcc,,,0.158073,segment,0,0.581302,,,0.4133669137954712,2,0.2893568396568298,d01j020s003787_1,,
,,0.000729,8.570886,7.820105,mfcc,,,0.147604,segment,0,0.602448,,,0.4133669137954712,3,0.2893568396568298,d01j020s003787_1,,
,,0.000729,8.431197,7.73724,mfcc,,,0.153489,segment,0,0.539739,,,0.4133669137954712,4,0.2893568396568298,d01j020s003787_1,,
,,0.000625,8.066198,7.403281,mfcc,,,0.138229,segment,0,0.524063,,,0.4133669137954712,5,0.2893568396568298,d01j020s003787_1,,
,,0.000677,7.94125,7.299062,mfcc,,,0.140157,segment,0,0.501354,,,0.4133669137954712,6,0.2893568396568298,d01j020s003787_1,,
,,0.000782,8.00125,7.34026,mfcc,,,0.163073,segment,0,0.497135,,,0.4133669137954712,7,0.2893568396568298,d01j020s003787_1,,
,,0.001302,8.394844,7.67724,mfcc,,,0.165677,segment,0,0.550625,,,0.4133669137954712,8,0.2893568396568298,d01j020s003787_1,,
,,0.000677,8.445208,7.755312,mfcc,,,0.155,segment,0,0.534219,,,0.4133669137954712,9,0.2893568396568298,d01j020s003787_1,,
,,0.00125,20.302865,9.75125,mfcc,,,2.409948,segment,1,8.140417,,,0.9999998807907104,0,0.6999999165534972,vishing_558_27,,
,,0.002552,11.5275,8.970833,mfcc,,,1.819479,segment,1,0.734636,,,0.9999998807907104,1,0.6999999165534972,vishing_558_27,,
,,0.001666,13.084218,9.665053,mfcc,,,1.424427,segment,1,1.993072,,,0.9999998807907104,2,0.6999999165534972,vishing_558_27,,
,,0.000885,11.293073,8.933489,mfcc,,,1.462709,segment,1,0.89599,,,0.9999998807907104,3,0.6999999165534972,vishing_558_27,,
,,0.001459,11.333698,9.933229,mfcc,,,0.67276,segment,1,0.72625,,,0.9999998807907104,4,0.6999999165534972,vishing_558_27,,
,,0.000937,11.275416,9.762031,mfcc,,,0.669896,segment,1,0.842552,,,0.9999998807907104,5,0.6999999165534972,vishing_558_27,,
,,0.001042,12.932552,9.536719,mfcc,,,2.635729,segment,1,0.759062,,,0.9999998807907104,6,0.6999999165534972,vishing_558_27,,
,,0.000885,10.78224,9.542187,mfcc,,,0.566407,segment,1,0.672761,,,0.9999998807907104,7,0.6999999165534972,vishing_558_27,,
,,0.000834,10.845782,9.406927,mfcc,,,0.693489,segment,1,0.744532,,,0.9999998807907104,8,0.6999999165534972,vishing_558_27,,
,,0.000938,11.719167,9.605833,mfcc,,,1.369323,segment,1,0.743073,,,0.9999998807907104,9,0.6999999165534972,vishing_558_27,,
,,0.001354,14.220052,7.256458,mfcc,,,0.825886,segment,0,6.136354,,,0.333809494972229,0,0.2336666464805603,d01j020s006667_1,,
,,0.000625,8.080938,7.26651,mfcc,,,0.19849,segment,0,0.615313,,,0.333809494972229,1,0.2336666464805603,d01j020s006667_1,,
,,0.000729,8.321041,7.553646,mfcc,,,0.164583,segment,0,0.602083,,,0.333809494972229,2,0.2336666464805603,d01j020s006667_1,,
