fold,feature_type,method,alpha,tau,f1,precision,recall,fpr,mean_alert_latency,median_alert_latency
3,mfcc,ema,0.5,0.3,0.9824561403508771,0.9722222222222222,0.9929078014184397,0.028169014084507043,9.368357142857144,8.077
3,mfcc,running_max,,0.5,0.9527027027027027,0.9096774193548387,1.0,0.09859154929577464,9.417695035460994,8.08
3,mfcc,any_segment_baseline (τ=0.5),,0.5,0.9527027027027027,0.9096774193548387,1.0,0.09859154929577464,9.417695035460994,8.08
3,mfcc,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.0,258.4631739130435,91.025
3,wav2vec2,ema,0.7,0.5,0.9752650176678446,0.971830985915493,0.9787234042553191,0.028169014084507043,21.036333333333335,19.4495
3,wav2vec2,running_max,,0.9,0.8660436137071651,0.7722222222222223,0.9858156028368794,0.2887323943661972,11.488179856115108,8.999
3,wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7212276214833759,0.564,1.0,0.7676056338028169,8.13313475177305,8.434
3,wav2vec2,majority_vote (τ=0.5),,0.5,0.9964664310954063,0.9929577464788732,1.0,0.007042253521126761,257.88051773049636,91.85
3,all,ema,0.3,0.3,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.007042253521126761,9.34377142857143,8.077
3,all,running_max,,0.7,0.9791666666666666,0.9591836734693877,1.0,0.04225352112676056,9.302425531914896,8.074
3,all,any_segment_baseline (τ=0.5),,0.5,0.9591836734693877,0.9215686274509803,1.0,0.08450704225352113,9.302425531914896,8.074
3,all,majority_vote (τ=0.5),,0.5,0.9928571428571429,1.0,0.9858156028368794,0.0,257.5775395683453,90.2
4,egemaps,ema,0.5,0.3,0.9928571428571429,1.0,0.9858156028368794,0.0,6.96474820143885,7.559
4,egemaps,running_max,,0.7,0.9559322033898305,0.9155844155844156,1.0,0.09154929577464789,6.998368794326241,7.559
4,egemaps,any_segment_baseline (τ=0.5),,0.5,0.9368770764119602,0.88125,1.0,0.13380281690140844,6.948723404255319,7.515
4,egemaps,majority_vote (τ=0.5),,0.5,0.99644128113879,1.0,0.9929078014184397,0.0,268.91420000000005,107.065
4,mfcc,ema,0.7,0.3,0.9893992932862191,0.9859154929577465,0.9929078014184397,0.014084507042253521,8.160764285714286,8.094999999999999
4,mfcc,running_max,,0.9,0.986013986013986,0.9724137931034482,1.0,0.028169014084507043,6.981702127659575,7.515
4,mfcc,any_segment_baseline (τ=0.5),,0.5,0.9657534246575342,0.9337748344370861,1.0,0.07042253521126761,6.981702127659575,7.515
4,mfcc,majority_vote (τ=0.5),,0.5,1.0,1.0,1.0,0.0,268.5230354609929,108.28
4,wav2vec2,ema,0.5,0.7,0.9304029304029304,0.9621212121212122,0.900709219858156,0.035211267605633804,18.092346456692916,17.73
4,wav2vec2,running_max,,0.9,0.8459214501510574,0.7368421052631579,0.9929078014184397,0.352112676056338,11.74517142857143,9.030000000000001
4,wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7230769230769231,0.5662650602409639,1.0,0.7605633802816901,7.821524822695036,7.705
4,wav2vec2,majority_vote (τ=0.5),,0.5,0.9824561403508771,0.9722222222222222,0.9929078014184397,0.028169014084507043,269.9914142857143,108.65
4,all,ema,0.3,0.3,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.007042253521126761,6.943071428571429,7.4975000000000005
4,all,running_max,,0.5,0.9494949494949495,0.9038461538461539,1.0,0.1056338028169014,6.90758865248227,7.48
4,all,any_segment_baseline (τ=0.5),,0.5,0.9494949494949495,0.9038461538461539,1.0,0.1056338028169014,6.90758865248227,7.48
4,all,majority_vote (τ=0.5),,0.5,1.0,1.0,1.0,0.0,268.5230354609929,108.28
